d,FOODS_3_090,FOODS_3_586,FOODS_3_252,FOODS_3_555,FOODS_3_714,date,wm_yr_wk,weekday,wday,month,year,snap_CA,snap_TX,snap_WI
d_659,1012,665,384,376,237,2012-11-17,11243,Saturday,1,11,2012,0,0,0
d_660,969,660,339,356,205,2012-11-18,11243,Sunday,2,11,2012,0,0,0
d_661,888,498,229,246,158,2012-11-19,11243,Monday,3,11,2012,0,0,0
d_662,1032,494,241,253,166,2012-11-20,11243,Tuesday,4,11,2012,0,0,0
d_663,1857,634,302,391,204,2012-11-21,11243,Wednesday,5,11,2012,0,0,0
d_664,1453,902,486,530,353,2012-11-22,11243,Thursday,6,11,2012,0,0,0
d_665,245,797,504,508,288,2012-11-23,11243,Friday,7,11,2012,0,0,0
d_666,892,589,318,324,186,2012-11-24,11244,Saturday,1,11,2012,0,0,0
d_667,781,584,306,294,161,2012-11-25,11244,Sunday,2,11,2012,0,0,0
d_668,527,437,197,214,119,2012-11-26,11244,Monday,3,11,2012,0,0,0
d_669,490,391,187,197,112,2012-11-27,11244,Tuesday,4,11,2012,0,0,0
d_670,636,327,172,168,112,2012-11-28,11244,Wednesday,5,11,2012,0,0,0
d_671,619,385,190,203,142,2012-11-29,11244,Thursday,6,11,2012,0,0,0
d_672,932,495,230,281,158,2012-11-30,11244,Friday,7,11,2012,0,0,0
d_673,1256,674,434,390,319,2012-12-01,11245,Saturday,1,12,2012,1,1,0
d_674,1014,667,327,360,260,2012-12-02,11245,Sunday,2,12,2012,1,0,1
d_675,705,524,251,288,211,2012-12-03,11245,Monday,3,12,2012,1,1,1
d_676,635,447,212,211,157,2012-12-04,11245,Tuesday,4,12,2012,1,0,0
d_677,753,508,201,234,161,2012-12-05,11245,Wednesday,5,12,2012,1,1,1
d_678,698,512,239,273,192,2012-12-06,11245,Thursday,6,12,2012,1,1,1
d_679,1112,584,235,300,213,2012-12-07,11245,Friday,7,12,2012,1,1,0
d_680,1155,700,399,374,280,2012-12-08,11246,Saturday,1,12,2012,1,0,1
d_681,938,742,392,366,269,2012-12-09,11246,Sunday,2,12,2012,1,1,1
d_682,778,476,191,245,134,2012-12-10,11246,Monday,3,12,2012,1,0,0
d_683,579,459,194,264,139,2012-12-11,11246,Tuesday,4,12,2012,0,1,1
d_684,705,474,188,255,131,2012-12-12,11246,Wednesday,5,12,2012,0,1,1
d_685,696,487,220,250,149,2012-12-13,11246,Thursday,6,12,2012,0,1,0
d_686,869,612,301,283,147,2012-12-14,11246,Friday,7,12,2012,0,0,1
d_687,1067,757,433,418,168,2012-12-15,11247,Saturday,1,12,2012,0,1,1
d_688,1090,745,329,370,170,2012-12-16,11247,Sunday,2,12,2012,0,0,0
d_689,659,469,255,282,131,2012-12-17,11247,Monday,3,12,2012,0,0,0
d_690,709,514,240,265,134,2012-12-18,11247,Tuesday,4,12,2012,0,0,0
d_691,785,590,249,304,141,2012-12-19,11247,Wednesday,5,12,2012,0,0,0
d_692,794,515,254,300,155,2012-12-20,11247,Thursday,6,12,2012,0,0,0
d_693,938,651,332,345,174,2012-12-21,11247,Friday,7,12,2012,0,0,0
d_694,1291,919,457,518,239,2012-12-22,11248,Saturday,1,12,2012,0,0,0
d_695,1697,906,361,417,214,2012-12-23,11248,Sunday,2,12,2012,0,0,0
d_696,2102,767,278,356,174,2012-12-24,11248,Monday,3,12,2012,0,0,0
d_697,0,1,0,1,0,2012-12-25,11248,Tuesday,4,12,2012,0,0,0
d_698,716,538,200,277,139,2012-12-26,11248,Wednesday,5,12,2012,0,0,0
d_699,681,440,214,234,121,2012-12-27,11248,Thursday,6,12,2012,0,0,0
d_700,943,468,221,264,133,2012-12-28,11248,Friday,7,12,2012,0,0,0
d_701,1074,525,251,260,148,2012-12-29,11249,Saturday,1,12,2012,0,0,0
d_702,1397,477,239,282,150,2012-12-30,11249,Sunday,2,12,2012,0,0,0
d_703,1924,449,184,233,106,2012-12-31,11249,Monday,3,12,2012,0,0,0
d_704,460,371,180,194,101,2013-01-01,11249,Tuesday,4,1,2013,1,1,0
d_705,720,401,152,216,139,2013-01-02,11249,Wednesday,5,1,2013,1,0,1
d_706,806,422,213,237,142,2013-01-03,11249,Thursday,6,1,2013,1,1,1
d_707,867,427,199,257,126,2013-01-04,11249,Friday,7,1,2013,1,0,0
d_708,1148,550,224,282,162,2013-01-05,11250,Saturday,1,1,2013,1,1,1
d_709,994,550,238,288,143,2013-01-06,11250,Sunday,2,1,2013,1,1,1
d_710,707,406,178,206,115,2013-01-07,11250,Monday,3,1,2013,1,1,0
d_711,719,380,153,184,106,2013-01-08,11250,Tuesday,4,1,2013,1,0,1
d_712,630,323,148,188,104,2013-01-09,11250,Wednesday,5,1,2013,1,1,1
d_713,813,398,167,208,84,2013-01-10,11250,Thursday,6,1,2013,1,0,0
d_714,799,474,225,276,142,2013-01-11,11250,Friday,7,1,2013,0,1,1
d_715,1307,581,295,300,145,2013-01-12,11251,Saturday,1,1,2013,0,1,1
d_716,977,472,237,239,116,2013-01-13,11251,Sunday,2,1,2013,0,1,0
d_717,606,337,192,166,107,2013-01-14,11251,Monday,3,1,2013,0,0,1
d_718,635,351,176,187,105,2013-01-15,11251,Tuesday,4,1,2013,0,1,1
d_719,640,358,152,193,86,2013-01-16,11251,Wednesday,5,1,2013,0,0,0
d_720,635,399,166,173,100,2013-01-17,11251,Thursday,6,1,2013,0,0,0
d_721,887,415,241,240,133,2013-01-18,11251,Friday,7,1,2013,0,0,0
d_722,1263,606,339,346,160,2013-01-19,11252,Saturday,1,1,2013,0,0,0
d_723,1101,504,278,287,135,2013-01-20,11252,Sunday,2,1,2013,0,0,0
d_724,853,409,215,189,118,2013-01-21,11252,Monday,3,1,2013,0,0,0
d_725,367,338,171,175,108,2013-01-22,11252,Tuesday,4,1,2013,0,0,0
d_726,154,340,125,158,91,2013-01-23,11252,Wednesday,5,1,2013,0,0,0
d_727,206,393,169,204,99,2013-01-24,11252,Thursday,6,1,2013,0,0,0
d_728,221,395,206,218,127,2013-01-25,11252,Friday,7,1,2013,0,0,0
d_729,1076,495,266,265,138,2013-01-26,11301,Saturday,1,1,2013,0,0,0
d_730,913,477,266,255,117,2013-01-27,11301,Sunday,2,1,2013,0,0,0
d_731,593,349,164,161,119,2013-01-28,11301,Monday,3,1,2013,0,0,0
d_732,501,332,122,163,89,2013-01-29,11301,Tuesday,4,1,2013,0,0,0
d_733,552,315,127,163,110,2013-01-30,11301,Wednesday,5,1,2013,0,0,0
d_734,616,352,178,210,126,2013-01-31,11301,Thursday,6,1,2013,0,0,0
d_735,849,503,252,282,200,2013-02-01,11301,Friday,7,2,2013,1,1,0
d_736,1204,613,356,327,230,2013-02-02,11302,Saturday,1,2,2013,1,0,1
d_737,1280,589,258,341,179,2013-02-03,11302,Sunday,2,2,2013,1,1,1
d_738,531,388,176,204,127,2013-02-04,11302,Monday,3,2,2013,1,0,0
d_739,539,444,207,238,149,2013-02-05,11302,Tuesday,4,2,2013,1,1,1
d_740,611,396,176,243,126,2013-02-06,11302,Wednesday,5,2,2013,1,1,1
d_741,531,439,188,234,134,2013-02-07,11302,Thursday,6,2,2013,1,1,0
d_742,847,493,213,282,207,2013-02-08,11302,Friday,7,2,2013,1,0,1
d_743,961,637,336,368,273,2013-02-09,11303,Saturday,1,2,2013,1,1,1
d_744,748,584,302,356,238,2013-02-10,11303,Sunday,2,2,2013,1,0,0
d_745,548,466,227,252,152,2013-02-11,11303,Monday,3,2,2013,0,1,1
d_746,487,399,219,262,179,2013-02-12,11303,Tuesday,4,2,2013,0,1,1
d_747,757,503,291,333,220,2013-02-13,11303,Wednesday,5,2,2013,0,1,0
d_748,412,409,267,275,201,2013-02-14,11303,Thursday,6,2,2013,0,0,1
d_749,746,512,284,319,260,2013-02-15,11303,Friday,7,2,2013,0,1,1
d_750,809,585,380,385,323,2013-02-16,11304,Saturday,1,2,2013,0,0,0
d_751,877,646,373,316,276,2013-02-17,11304,Sunday,2,2,2013,0,0,0
d_752,508,433,219,210,164,2013-02-18,11304,Monday,3,2,2013,0,0,0
d_753,434,378,198,213,133,2013-02-19,11304,Tuesday,4,2,2013,0,0,0
d_754,570,397,195,205,123,2013-02-20,11304,Wednesday,5,2,2013,0,0,0
d_755,516,461,210,276,164,2013-02-21,11304,Thursday,6,2,2013,0,0,0
d_756,704,437,244,219,176,2013-02-22,11304,Friday,7,2,2013,0,0,0
d_757,828,590,360,338,270,2013-02-23,11305,Saturday,1,2,2013,0,0,0
d_758,883,568,346,305,234,2013-02-24,11305,Sunday,2,2,2013,0,0,0
d_759,513,392,233,227,170,2013-02-25,11305,Monday,3,2,2013,0,0,0
d_760,429,347,166,200,163,2013-02-26,11305,Tuesday,4,2,2013,0,0,0
d_761,440,376,197,240,176,2013-02-27,11305,Wednesday,5,2,2013,0,0,0
d_762,561,394,210,198,158,2013-02-28,11305,Thursday,6,2,2013,0,0,0
d_763,757,523,288,336,226,2013-03-01,11305,Friday,7,3,2013,1,1,0
d_764,1043,607,390,343,317,2013-03-02,11306,Saturday,1,3,2013,1,0,1
d_765,775,650,388,322,296,2013-03-03,11306,Sunday,2,3,2013,1,1,1
d_766,605,468,244,214,221,2013-03-04,11306,Monday,3,3,2013,1,0,0
d_767,529,376,196,171,181,2013-03-05,11306,Tuesday,4,3,2013,1,1,1
d_768,465,423,241,195,167,2013-03-06,11306,Wednesday,5,3,2013,1,1,1
d_769,513,420,213,185,194,2013-03-07,11306,Thursday,6,3,2013,1,1,0
d_770,670,494,267,229,185,2013-03-08,11306,Friday,7,3,2013,1,0,1
d_771,738,619,444,262,302,2013-03-09,11307,Saturday,1,3,2013,1,1,1
d_772,757,571,339,255,266,2013-03-10,11307,Sunday,2,3,2013,1,0,0
d_773,549,439,220,224,193,2013-03-11,11307,Monday,3,3,2013,0,1,1
d_774,472,443,215,209,206,2013-03-12,11307,Tuesday,4,3,2013,0,1,1
d_775,512,401,242,222,192,2013-03-13,11307,Wednesday,5,3,2013,0,1,0
d_776,527,365,215,174,200,2013-03-14,11307,Thursday,6,3,2013,0,0,1
d_777,654,477,321,232,250,2013-03-15,11307,Friday,7,3,2013,0,1,1
d_778,800,563,314,257,264,2013-03-16,11308,Saturday,1,3,2013,0,0,0
d_779,593,464,295,238,230,2013-03-17,11308,Sunday,2,3,2013,0,0,0
d_780,494,343,243,193,191,2013-03-18,11308,Monday,3,3,2013,0,0,0
d_781,455,304,148,150,168,2013-03-19,11308,Tuesday,4,3,2013,0,0,0
d_782,431,351,155,187,204,2013-03-20,11308,Wednesday,5,3,2013,0,0,0
d_783,503,351,159,177,179,2013-03-21,11308,Thursday,6,3,2013,0,0,0
d_784,686,418,242,254,199,2013-03-22,11308,Friday,7,3,2013,0,0,0
d_785,877,537,301,290,277,2013-03-23,11309,Saturday,1,3,2013,0,0,0
d_786,727,522,345,259,248,2013-03-24,11309,Sunday,2,3,2013,0,0,0
d_787,481,374,218,194,175,2013-03-25,11309,Monday,3,3,2013,0,0,0
d_788,501,393,236,208,178,2013-03-26,11309,Tuesday,4,3,2013,0,0,0
d_789,509,404,227,214,162,2013-03-27,11309,Wednesday,5,3,2013,0,0,0
d_790,592,399,256,240,184,2013-03-28,11309,Thursday,6,3,2013,0,0,0
d_791,843,542,354,322,271,2013-03-29,11309,Friday,7,3,2013,0,0,0
d_792,1197,644,420,360,381,2013-03-30,11310,Saturday,1,3,2013,0,0,0
d_793,1065,558,333,252,239,2013-03-31,11310,Sunday,2,3,2013,0,0,0
d_794,542,442,249,203,199,2013-04-01,11310,Monday,3,4,2013,1,1,0
d_795,535,381,224,178,174,2013-04-02,11310,Tuesday,4,4,2013,1,0,1
d_796,575,411,250,195,198,2013-04-03,11310,Wednesday,5,4,2013,1,1,1
d_797,534,377,196,165,183,2013-04-04,11310,Thursday,6,4,2013,1,0,0
d_798,841,416,272,182,202,2013-04-05,11310,Friday,7,4,2013,1,1,1
d_799,853,547,348,284,269,2013-04-06,11311,Saturday,1,4,2013,1,1,1
d_800,780,577,349,247,255,2013-04-07,11311,Sunday,2,4,2013,1,1,0
d_801,566,377,248,202,180,2013-04-08,11311,Monday,3,4,2013,1,0,1
d_802,537,398,206,230,194,2013-04-09,11311,Tuesday,4,4,2013,1,1,1
d_803,554,371,211,179,173,2013-04-10,11311,Wednesday,5,4,2013,1,0,0
d_804,618,429,233,186,171,2013-04-11,11311,Thursday,6,4,2013,0,1,1
d_805,646,427,268,293,253,2013-04-12,11311,Friday,7,4,2013,0,1,1
d_806,846,523,404,322,280,2013-04-13,11312,Saturday,1,4,2013,0,1,0
d_807,624,543,343,305,272,2013-04-14,11312,Sunday,2,4,2013,0,0,1
d_808,533,425,227,224,182,2013-04-15,11312,Monday,3,4,2013,0,1,1
d_809,493,367,187,183,179,2013-04-16,11312,Tuesday,4,4,2013,0,0,0
d_810,458,353,166,169,140,2013-04-17,11312,Wednesday,5,4,2013,0,0,0
d_811,445,354,178,170,154,2013-04-18,11312,Thursday,6,4,2013,0,0,0
d_812,694,389,298,232,213,2013-04-19,11312,Friday,7,4,2013,0,0,0
d_813,815,538,317,307,267,2013-04-20,11313,Saturday,1,4,2013,0,0,0
d_814,695,548,333,271,261,2013-04-21,11313,Sunday,2,4,2013,0,0,0
d_815,540,402,248,204,227,2013-04-22,11313,Monday,3,4,2013,0,0,0
d_816,497,393,241,187,179,2013-04-23,11313,Tuesday,4,4,2013,0,0,0
d_817,458,353,186,160,171,2013-04-24,11313,Wednesday,5,4,2013,0,0,0
d_818,535,412,235,210,152,2013-04-25,11313,Thursday,6,4,2013,0,0,0
d_819,638,430,297,222,195,2013-04-26,11313,Friday,7,4,2013,0,0,0
d_820,791,473,307,241,232,2013-04-27,11314,Saturday,1,4,2013,0,0,0
d_821,617,531,361,294,331,2013-04-28,11314,Sunday,2,4,2013,0,0,0
d_822,442,341,195,167,229,2013-04-29,11314,Monday,3,4,2013,0,0,0
d_823,483,400,259,193,219,2013-04-30,11314,Tuesday,4,4,2013,0,0,0
d_824,558,435,297,223,289,2013-05-01,11314,Wednesday,5,5,2013,1,1,0
d_825,609,413,253,164,184,2013-05-02,11314,Thursday,6,5,2013,1,0,1
d_826,639,464,326,227,232,2013-05-03,11314,Friday,7,5,2013,1,1,1
d_827,831,632,465,345,298,2013-05-04,11315,Saturday,1,5,2013,1,0,0
d_828,721,492,342,267,248,2013-05-05,11315,Sunday,2,5,2013,1,1,1
d_829,562,370,245,213,251,2013-05-06,11315,Monday,3,5,2013,1,1,1
d_830,561,386,277,204,202,2013-05-07,11315,Tuesday,4,5,2013,1,1,0
d_831,496,386,240,243,208,2013-05-08,11315,Wednesday,5,5,2013,1,0,1
d_832,587,413,249,235,186,2013-05-09,11315,Thursday,6,5,2013,1,1,1
d_833,756,431,274,230,185,2013-05-10,11315,Friday,7,5,2013,1,0,0
d_834,833,600,470,352,296,2013-05-11,11316,Saturday,1,5,2013,0,1,1
d_835,833,616,368,303,219,2013-05-12,11316,Sunday,2,5,2013,0,1,1
d_836,457,452,274,239,218,2013-05-13,11316,Monday,3,5,2013,0,1,0
d_837,452,401,266,202,222,2013-05-14,11316,Tuesday,4,5,2013,0,0,1
d_838,499,369,224,220,202,2013-05-15,11316,Wednesday,5,5,2013,0,1,1
d_839,646,397,274,206,165,2013-05-16,11316,Thursday,6,5,2013,0,0,0
d_840,861,450,299,237,230,2013-05-17,11316,Friday,7,5,2013,0,0,0
d_841,823,551,459,325,330,2013-05-18,11317,Saturday,1,5,2013,0,0,0
d_842,688,543,427,336,303,2013-05-19,11317,Sunday,2,5,2013,0,0,0
d_843,634,450,303,226,292,2013-05-20,11317,Monday,3,5,2013,0,0,0
d_844,401,386,245,216,228,2013-05-21,11317,Tuesday,4,5,2013,0,0,0
d_845,399,362,236,164,166,2013-05-22,11317,Wednesday,5,5,2013,0,0,0
d_846,482,414,249,207,168,2013-05-23,11317,Thursday,6,5,2013,0,0,0
d_847,598,436,293,207,218,2013-05-24,11317,Friday,7,5,2013,0,0,0
d_848,760,521,356,271,295,2013-05-25,11318,Saturday,1,5,2013,0,0,0
d_849,777,496,375,283,237,2013-05-26,11318,Sunday,2,5,2013,0,0,0
d_850,740,470,319,236,216,2013-05-27,11318,Monday,3,5,2013,0,0,0
d_851,442,395,225,203,155,2013-05-28,11318,Tuesday,4,5,2013,0,0,0
d_852,338,338,200,190,149,2013-05-29,11318,Wednesday,5,5,2013,0,0,0
d_853,443,368,248,187,218,2013-05-30,11318,Thursday,6,5,2013,0,0,0
d_854,729,503,351,250,286,2013-05-31,11318,Friday,7,5,2013,0,0,0
d_855,784,688,495,384,412,2013-06-01,11319,Saturday,1,6,2013,1,1,0
d_856,737,550,367,292,310,2013-06-02,11319,Sunday,2,6,2013,1,0,1
d_857,591,491,279,251,238,2013-06-03,11319,Monday,3,6,2013,1,1,1
d_858,523,453,325,234,210,2013-06-04,11319,Tuesday,4,6,2013,1,0,0
d_859,539,422,301,244,240,2013-06-05,11319,Wednesday,5,6,2013,1,1,1
d_860,543,444,288,258,231,2013-06-06,11319,Thursday,6,6,2013,1,1,1
d_861,701,501,426,308,270,2013-06-07,11319,Friday,7,6,2013,1,1,0
d_862,881,624,519,347,350,2013-06-08,11320,Saturday,1,6,2013,1,0,1
d_863,724,577,366,303,255,2013-06-09,11320,Sunday,2,6,2013,1,1,1
d_864,563,461,315,233,224,2013-06-10,11320,Monday,3,6,2013,1,0,0
d_865,490,456,248,251,215,2013-06-11,11320,Tuesday,4,6,2013,0,1,1
d_866,435,436,308,219,180,2013-06-12,11320,Wednesday,5,6,2013,0,1,1
d_867,584,481,329,256,226,2013-06-13,11320,Thursday,6,6,2013,0,1,0
d_868,740,541,455,298,312,2013-06-14,11320,Friday,7,6,2013,0,0,1
d_869,882,662,488,362,366,2013-06-15,11321,Saturday,1,6,2013,0,1,1
d_870,793,578,416,316,365,2013-06-16,11321,Sunday,2,6,2013,0,0,0
d_871,607,432,312,187,247,2013-06-17,11321,Monday,3,6,2013,0,0,0
d_872,535,404,253,155,175,2013-06-18,11321,Tuesday,4,6,2013,0,0,0
d_873,439,359,268,200,191,2013-06-19,11321,Wednesday,5,6,2013,0,0,0
d_874,583,420,337,275,245,2013-06-20,11321,Thursday,6,6,2013,0,0,0
d_875,737,483,341,260,240,2013-06-21,11321,Friday,7,6,2013,0,0,0
d_876,828,563,416,328,295,2013-06-22,11322,Saturday,1,6,2013,0,0,0
d_877,676,596,340,229,343,2013-06-23,11322,Sunday,2,6,2013,0,0,0
d_878,446,392,246,178,181,2013-06-24,11322,Monday,3,6,2013,0,0,0
d_879,531,421,227,184,201,2013-06-25,11322,Tuesday,4,6,2013,0,0,0
d_880,484,437,313,209,220,2013-06-26,11322,Wednesday,5,6,2013,0,0,0
d_881,474,438,339,224,267,2013-06-27,11322,Thursday,6,6,2013,0,0,0
d_882,679,481,477,251,288,2013-06-28,11322,Friday,7,6,2013,0,0,0
d_883,871,672,663,352,399,2013-06-29,11323,Saturday,1,6,2013,0,0,0
d_884,712,586,525,349,338,2013-06-30,11323,Sunday,2,6,2013,0,0,0
d_885,598,564,340,250,312,2013-07-01,11323,Monday,3,7,2013,1,1,0
d_886,597,456,369,214,255,2013-07-02,11323,Tuesday,4,7,2013,1,0,1
d_887,865,533,366,313,280,2013-07-03,11323,Wednesday,5,7,2013,1,1,1
d_888,965,616,464,314,332,2013-07-04,11323,Thursday,6,7,2013,1,0,0
d_889,728,549,364,293,283,2013-07-05,11323,Friday,7,7,2013,1,1,1
d_890,735,577,379,317,358,2013-07-06,11324,Saturday,1,7,2013,1,1,1
d_891,637,515,323,242,287,2013-07-07,11324,Sunday,2,7,2013,1,1,0
d_892,462,389,289,218,214,2013-07-08,11324,Monday,3,7,2013,1,0,1
d_893,478,451,332,255,201,2013-07-09,11324,Tuesday,4,7,2013,1,1,1
d_894,645,468,301,223,226,2013-07-10,11324,Wednesday,5,7,2013,1,0,0
d_895,563,463,338,260,230,2013-07-11,11324,Thursday,6,7,2013,0,1,1
d_896,760,544,454,309,280,2013-07-12,11324,Friday,7,7,2013,0,1,1
d_897,818,615,553,396,346,2013-07-13,11325,Saturday,1,7,2013,0,1,0
d_898,764,611,447,277,329,2013-07-14,11325,Sunday,2,7,2013,0,0,1
d_899,579,469,297,232,242,2013-07-15,11325,Monday,3,7,2013,0,1,1
d_900,476,422,289,203,257,2013-07-16,11325,Tuesday,4,7,2013,0,0,0
d_901,466,408,255,218,236,2013-07-17,11325,Wednesday,5,7,2013,0,0,0
d_902,631,475,380,263,271,2013-07-18,11325,Thursday,6,7,2013,0,0,0
d_903,644,499,311,262,310,2013-07-19,11325,Friday,7,7,2013,0,0,0
d_904,852,577,453,290,271,2013-07-20,11326,Saturday,1,7,2013,0,0,0
d_905,836,560,440,278,272,2013-07-21,11326,Sunday,2,7,2013,0,0,0
d_906,504,433,319,212,238,2013-07-22,11326,Monday,3,7,2013,0,0,0
d_907,518,371,249,209,196,2013-07-23,11326,Tuesday,4,7,2013,0,0,0
d_908,414,375,340,172,189,2013-07-24,11326,Wednesday,5,7,2013,0,0,0
d_909,557,409,325,219,206,2013-07-25,11326,Thursday,6,7,2013,0,0,0
d_910,760,483,365,242,213,2013-07-26,11326,Friday,7,7,2013,0,0,0
d_911,840,600,467,286,260,2013-07-27,11327,Saturday,1,7,2013,0,0,0
d_912,624,592,399,292,228,2013-07-28,11327,Sunday,2,7,2013,0,0,0
d_913,448,483,273,215,169,2013-07-29,11327,Monday,3,7,2013,0,0,0
d_914,522,427,270,203,165,2013-07-30,11327,Tuesday,4,7,2013,0,0,0
d_915,477,418,277,207,169,2013-07-31,11327,Wednesday,5,7,2013,0,0,0
d_916,665,528,387,288,275,2013-08-01,11327,Thursday,6,8,2013,1,1,0
d_917,721,532,427,317,256,2013-08-02,11327,Friday,7,8,2013,1,0,1
d_918,818,659,521,355,343,2013-08-03,11328,Saturday,1,8,2013,1,1,1
d_919,778,661,457,297,232,2013-08-04,11328,Sunday,2,8,2013,1,0,0
d_920,611,527,301,253,211,2013-08-05,11328,Monday,3,8,2013,1,1,1
d_921,601,487,294,250,268,2013-08-06,11328,Tuesday,4,8,2013,1,1,1
d_922,556,514,327,215,215,2013-08-07,11328,Wednesday,5,8,2013,1,1,0
d_923,654,493,340,255,220,2013-08-08,11328,Thursday,6,8,2013,1,0,1
d_924,767,620,424,349,241,2013-08-09,11328,Friday,7,8,2013,1,1,1
d_925,771,645,470,350,281,2013-08-10,11329,Saturday,1,8,2013,1,0,0
d_926,806,701,534,331,242,2013-08-11,11329,Sunday,2,8,2013,0,1,1
d_927,566,533,361,242,213,2013-08-12,11329,Monday,3,8,2013,0,1,1
d_928,500,561,345,271,214,2013-08-13,11329,Tuesday,4,8,2013,0,1,0
d_929,478,481,365,237,231,2013-08-14,11329,Wednesday,5,8,2013,0,0,1
d_930,707,519,355,281,223,2013-08-15,11329,Thursday,6,8,2013,0,1,1
d_931,701,547,418,277,279,2013-08-16,11329,Friday,7,8,2013,0,0,0
d_932,59,696,610,336,318,2013-08-17,11330,Saturday,1,8,2013,0,0,0
d_933,63,798,628,363,375,2013-08-18,11330,Sunday,2,8,2013,0,0,0
d_934,675,555,402,293,227,2013-08-19,11330,Monday,3,8,2013,0,0,0
d_935,796,482,330,227,220,2013-08-20,11330,Tuesday,4,8,2013,0,0,0
d_936,1006,471,311,231,241,2013-08-21,11330,Wednesday,5,8,2013,0,0,0
d_937,1020,463,335,209,208,2013-08-22,11330,Thursday,6,8,2013,0,0,0
d_938,1730,539,433,297,267,2013-08-23,11330,Friday,7,8,2013,0,0,0
d_939,2052,700,558,354,368,2013-08-24,11331,Saturday,1,8,2013,0,0,0
d_940,1923,770,503,380,358,2013-08-25,11331,Sunday,2,8,2013,0,0,0
d_941,1172,471,272,190,211,2013-08-26,11331,Monday,3,8,2013,0,0,0
d_942,1399,430,325,205,279,2013-08-27,11331,Tuesday,4,8,2013,0,0,0
d_943,1371,421,285,220,211,2013-08-28,11331,Wednesday,5,8,2013,0,0,0
d_944,1514,451,283,209,221,2013-08-29,11331,Thursday,6,8,2013,0,0,0
d_945,2242,495,443,263,323,2013-08-30,11331,Friday,7,8,2013,0,0,0
d_946,2373,592,589,344,338,2013-08-31,11332,Saturday,1,8,2013,0,0,0
d_947,2532,602,477,354,387,2013-09-01,11332,Sunday,2,9,2013,1,1,0
d_948,1841,627,383,303,274,2013-09-02,11332,Monday,3,9,2013,1,0,1
d_949,1219,491,326,237,217,2013-09-03,11332,Tuesday,4,9,2013,1,1,1
d_950,1471,439,276,167,202,2013-09-04,11332,Wednesday,5,9,2013,1,0,0
d_951,1699,486,278,203,207,2013-09-05,11332,Thursday,6,9,2013,1,1,1
d_952,1548,513,379,284,247,2013-09-06,11332,Friday,7,9,2013,1,1,1
d_953,1862,588,513,343,301,2013-09-07,11333,Saturday,1,9,2013,1,1,0
d_954,1876,616,424,323,324,2013-09-08,11333,Sunday,2,9,2013,1,0,1
d_955,1376,443,326,251,217,2013-09-09,11333,Monday,3,9,2013,1,1,1
d_956,1470,381,263,187,221,2013-09-10,11333,Tuesday,4,9,2013,1,0,0
d_957,1666,451,279,168,223,2013-09-11,11333,Wednesday,5,9,2013,0,1,1
d_958,1684,363,267,190,228,2013-09-12,11333,Thursday,6,9,2013,0,1,1
d_959,2057,497,364,232,249,2013-09-13,11333,Friday,7,9,2013,0,1,0
d_960,2271,595,426,328,311,2013-09-14,11334,Saturday,1,9,2013,0,0,1
d_961,1628,600,418,295,234,2013-09-15,11334,Sunday,2,9,2013,0,1,1
d_962,1540,400,301,194,178,2013-09-16,11334,Monday,3,9,2013,0,0,0
d_963,1246,371,240,172,173,2013-09-17,11334,Tuesday,4,9,2013,0,0,0
d_964,1264,369,255,196,178,2013-09-18,11334,Wednesday,5,9,2013,0,0,0
d_965,1074,405,241,167,152,2013-09-19,11334,Thursday,6,9,2013,0,0,0
d_966,1334,364,239,189,159,2013-09-20,11334,Friday,7,9,2013,0,0,0
d_967,1739,436,330,243,231,2013-09-21,11335,Saturday,1,9,2013,0,0,0
d_968,1703,522,342,264,252,2013-09-22,11335,Sunday,2,9,2013,0,0,0
d_969,1178,354,211,161,155,2013-09-23,11335,Monday,3,9,2013,0,0,0
d_970,1165,358,203,196,175,2013-09-24,11335,Tuesday,4,9,2013,0,0,0
d_971,1125,355,197,158,163,2013-09-25,11335,Wednesday,5,9,2013,0,0,0
d_972,1209,381,260,171,183,2013-09-26,11335,Thursday,6,9,2013,0,0,0
d_973,1368,422,311,205,235,2013-09-27,11335,Friday,7,9,2013,0,0,0
d_974,1251,529,396,275,281,2013-09-28,11336,Saturday,1,9,2013,0,0,0
d_975,1125,537,310,258,262,2013-09-29,11336,Sunday,2,9,2013,0,0,0
d_976,856,363,212,183,182,2013-09-30,11336,Monday,3,9,2013,0,0,0
d_977,722,422,263,193,201,2013-10-01,11336,Tuesday,4,10,2013,1,1,0
d_978,521,371,209,192,183,2013-10-02,11336,Wednesday,5,10,2013,1,0,1
d_979,415,470,227,227,190,2013-10-03,11336,Thursday,6,10,2013,1,1,1
d_980,655,503,279,241,209,2013-10-04,11336,Friday,7,10,2013,1,0,0
d_981,1192,556,450,316,372,2013-10-05,11337,Saturday,1,10,2013,1,1,1
d_982,979,578,341,275,313,2013-10-06,11337,Sunday,2,10,2013,1,1,1
d_983,628,398,216,215,220,2013-10-07,11337,Monday,3,10,2013,1,1,0
d_984,534,357,217,195,184,2013-10-08,11337,Tuesday,4,10,2013,1,0,1
d_985,518,406,211,183,217,2013-10-09,11337,Wednesday,5,10,2013,1,1,1
d_986,615,419,260,198,194,2013-10-10,11337,Thursday,6,10,2013,1,0,0
d_987,798,500,260,228,268,2013-10-11,11337,Friday,7,10,2013,0,1,1
